player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Santiago Castro,Bologna,1,1,2,3.7,1.9,1.9,8,2324
Nicolo Fagioli,Juventus,0,2,2,3.7,0.0,3.7,8,2324
Eljif Elmas,Napoli,2,0,2,3.6,3.6,0.0,11,2324
Mathías Olivera,Napoli,1,1,2,3.6,1.8,1.8,23,2324
Mário Rui,Napoli,0,2,2,3.6,0.0,3.6,21,2324
Franck Zambo,Napoli,0,2,2,3.6,0.0,3.6,34,2324
Jens Cajuste,Napoli,0,2,2,3.6,0.0,3.6,26,2324
Matteo Darmian,Inter,2,1,3,3.4,2.2,1.1,33,2324
Alberto Cerri,Empoli,1,0,1,3.4,3.4,0.0,12,2324
Simone Bastoni,Empoli,1,0,1,3.4,3.4,0.0,16,2324
Kristjan Asllani,Inter,1,2,3,3.4,1.1,2.2,23,2324
Alberto Grassi,Empoli,0,1,1,3.4,0.0,3.4,27,2324
Bartosz Bereszynski,Empoli,0,1,1,3.4,0.0,3.4,24,2324
Tyronne Ebuehi,Empoli,0,1,1,3.4,0.0,3.4,15,2324
Youssef Maleh,Empoli,0,1,1,3.4,0.0,3.4,34,2324
Liberato Cacace,Empoli,0,1,1,3.4,0.0,3.4,31,2324
Carlos Augusto,Inter,0,3,3,3.4,0.0,3.4,37,2324
Steven Shpendi,Empoli,0,1,1,3.4,0.0,3.4,12,2324
Michael Kayode,Fiorentina,1,1,2,3.3,1.6,1.6,26,2324
Federico Fazio,Salernitana,1,0,1,3.1,3.1,0.0,17,2324
Federico Di Francesco,Lecce,1,0,1,3.1,3.1,0.0,2,2324
Diego Llorente,Roma,1,1,2,3.1,1.5,1.5,29,2324
Gabriel Strefezza,Lecce,1,0,1,3.1,3.1,0.0,19,2324
Lorenzo Pirola,Salernitana,1,0,1,3.1,3.1,0.0,27,2324
Shon Weissman,Salernitana,1,0,1,3.1,3.1,0.0,11,2324
Hamza Rafia,Lecce,1,0,1,3.1,3.1,0.0,28,2324
Jovane Cabral,Salernitana,1,0,1,3.1,3.1,0.0,12,2324
Rasmus Kristensen,Roma,1,1,2,3.1,1.5,1.5,29,2324
Ylber Ramadani,Lecce,1,0,1,3.1,3.1,0.0,34,2324
Agustín Martegani,Salernitana,1,0,1,3.1,3.1,0.0,18,2324
Niccolò Pierozzi,Salernitana,1,0,1,3.1,3.1,0.0,12,2324
Lassana Coulibaly,Salernitana,0,1,1,3.1,0.0,3.1,28,2324
Emanuel Vignato,Salernitana,0,1,1,3.1,0.0,3.1,9,2324
Rick Karsdorp,Roma,0,2,2,3.1,0.0,3.1,18,2324
Edoardo Bove,Roma,0,2,2,3.1,0.0,3.1,31,2324
Federico Baschirotto,Lecce,0,1,1,3.1,0.0,3.1,37,2324
Rares Burnete,Lecce,0,1,1,3.1,0.0,3.1,1,2324
El Bilal Touré,Atalanta,2,0,2,2.8,2.8,0.0,11,2324
Emil Holm,Atalanta,1,1,2,2.8,1.4,1.4,22,2324
Perr Schuurs,Torino,1,0,1,2.8,2.8,0.0,9,2324
Zanos Savva,Torino,1,0,1,2.8,2.8,0.0,2,2324
Keinan Davis,Udinese,1,0,1,2.7,2.7,0.0,8,2324
Jordan Zemura,Udinese,1,0,1,2.7,2.7,0.0,27,2324
Lautaro Giannetti,Udinese,1,0,1,2.7,2.7,0.0,7,2324
Kingsley Ehizibue,Udinese,0,1,1,2.7,0.0,2.7,23,2324
João Ferreira,Udinese,0,1,1,2.7,0.0,2.7,35,2324
Thomas Thiesson Kristensen,Udinese,0,1,1,2.7,0.0,2.7,26,2324
Andrea Carboni,Monza,1,0,1,2.6,2.6,0.0,21,2324
Samuele Vignato,Monza,1,0,1,2.6,2.6,0.0,10,2324
Mirko Maric,Monza,1,0,1,2.6,2.6,0.0,10,2324
Jordi Mboula,Verona,0,1,1,2.6,0.0,2.6,11,2324
Fabien Centonze,Verona,0,1,1,2.6,0.0,2.6,10,2324
Yunus Musah,AC Milan,0,2,2,2.6,0.0,2.6,30,2324
Lorenzo Montipò,Verona,0,1,1,2.6,0.0,2.6,37,2324
Patrick Ciurria,Monza,0,1,1,2.6,0.0,2.6,22,2324
Alessandro Deiola,Cagliari,1,0,1,2.4,2.4,0.0,27,2324
Antoine Makoumbou,Cagliari,1,0,1,2.4,2.4,0.0,32,2324
Kingstone Mutandwa,Cagliari,1,0,1,2.4,2.4,0.0,5,2324
Mateusz Wieteska,Cagliari,0,1,1,2.4,0.0,2.4,19,2324
Gianmarco Ferrari,Sassuolo,1,0,1,2.3,2.3,0.0,31,2324
Jaime Báez,Frosinone,1,0,1,2.3,2.3,0.0,11,2324
Martin Erlic,Sassuolo,1,0,1,2.3,2.3,0.0,32,2324
Mattia Viti,Sassuolo,1,0,1,2.3,2.3,0.0,15,2324
Cristian Volpato,Sassuolo,1,0,1,2.3,2.3,0.0,22,2324
Marvin Çuni,Frosinone,1,0,1,2.3,2.3,0.0,22,2324
Daniel Boloca,Sassuolo,1,0,1,2.3,2.3,0.0,30,2324
Caleb Okoli,Frosinone,0,1,1,2.3,0.0,2.3,34,2324
Emanuele Valeri,Frosinone,0,1,1,2.3,0.0,2.3,16,2324
Enzo Barrenechea,Frosinone,0,1,1,2.3,0.0,2.3,36,2324
Anthony Oyono,Frosinone,0,1,1,2.3,0.0,2.3,16,2324
Yann Bisseck,Inter,2,0,2,2.2,2.2,0.0,16,2324
Davide Biraschi,Genoa,1,0,1,2.2,2.2,0.0,1,2324
Junior Messias,Genoa,1,0,1,2.2,2.2,0.0,18,2324
Juan Cuadrado,Inter,0,2,2,2.2,0.0,2.2,10,2324
Stefano Sabelli,Genoa,0,1,1,2.2,0.0,2.2,32,2324
Benjamin Pavard,Inter,0,2,2,2.2,0.0,2.2,23,2324
Aarón Martín,Genoa,0,1,1,2.2,0.0,2.2,22,2324
Ridgeciano Haps,Genoa,0,1,1,2.2,0.0,2.2,16,2324
Koni de Winter,Genoa,0,1,1,2.2,0.0,2.2,29,2324
Alessandro Vogliacco,Genoa,0,1,1,2.2,0.0,2.2,20,2324
Danilo Cataldi,Lazio,1,0,1,2.0,2.0,0.0,28,2324
Luca Pellegrini,Lazio,1,0,1,2.0,2.0,0.0,19,2324
