player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Sinaly Diomande,Auxerre,0,0,0,0.0,0.0,0.0,2
Kevin Omoruyi,Nice,0,0,0,0.0,0.0,0.0,7
Sékou Mara,Auxerre,0,0,0,0.0,0.0,0.0,8
Marvin Senaya,Auxerre,0,0,0,0.0,0.0,0.0,12
Reda Khadra,Le Havre,0,0,0,0.0,0.0,0.0,4
Antoine Mendy,Nice,0,0,0,0.0,0.0,0.0,10
Andy Diouf,Lens,0,0,0,0.0,0.0,0.0,1
Mamadou Mbow,Paris FC,0,0,0,0.0,0.0,0.0,11
Grégoire Coudert,Brest,0,0,0,0.0,0.0,0.0,3
Christopher Wooh,Rennes,0,0,0,0.0,0.0,0.0,2
Deiver Machado,Lens,0,0,0,0.0,0.0,0.0,4
Salis Abdul Samed,Nice,0,0,0,0.0,0.0,0.0,8
Jim Allevinah,Angers,0,0,0,0.0,0.0,0.0,3
Pablo Rosario,Nice,0,0,0,0.0,0.0,0.0,1
Billal Brahimi,Nice,0,0,0,0.0,0.0,0.0,1
Bamo Meïté,Lorient,0,0,0,0.0,0.0,0.0,6
Gideon Mensah,Auxerre,0,0,0,0.0,0.0,0.0,11
Axel Camblan,Brest,0,0,0,0.0,0.0,0.0,1
Andrew Omobamidele,Strasbourg,0,0,0,0.0,0.0,0.0,8
Montassar Talbi,Lorient,0,0,0,0.0,0.0,0.0,12
Jonathan Rowe,Marseille,0,0,0,0.0,0.0,0.0,1
CJ Egan-Riley,Marseille,0,0,0,0.0,0.0,0.0,6
Jacques Ekomie,Angers,0,0,0,0.0,0.0,0.0,12
Lohann Doucet,Paris FC,0,0,0,0.0,0.0,0.0,3
Louis Mouton,Angers,0,0,0,0.0,0.0,0.0,11
Ugo Raghouber,Lille,0,0,0,0.0,0.0,0.0,1
Soumaila Coulibaly,Brest,0,0,0,0.0,0.0,0.0,5
Robin Risser,Lens,0,0,0,0.0,0.0,0.0,12
Ben Seghir,Monaco,0,0,0,0.0,0.0,0.0,2
Rasmus Nicolaisen,Toulouse,0,0,0,0.0,0.0,0.0,12
Alexsandro Ribeiro,Lille,0,0,0,0.0,0.0,0.0,4
Kévin Danois,Auxerre,0,0,0,0.0,0.0,0.0,11
Darline Yongwa,Lorient,0,0,0,0.0,0.0,0.0,10
Julio Enciso,Strasbourg,0,0,0,0.0,0.0,0.0,5
Michel Diaz,Brest,0,0,0,0.0,0.0,0.0,7
Badredine Bouanani,Nice,0,0,0,0.0,0.0,0.0,2
Christian Mawissa Elebi,Monaco,0,0,0,0.0,0.0,0.0,6
Pierre Ganiou,Lens,0,0,0,0.0,0.0,0.0,1
Sael Kumbedi,Lyon,0,0,0,0.0,0.0,0.0,1
Théo De Percin,Auxerre,0,0,0,0.0,0.0,0.0,3
Mamadou Sarr,Strasbourg,0,0,0,0.0,0.0,0.0,9
Warren Kamanzi,Toulouse,0,0,0,0.0,0.0,0.0,10
Abner,Lyon,0,0,0,0.0,0.0,0.0,6
Ibrahim Salah,Rennes,0,0,0,0.0,0.0,0.0,2
Justin-Noel Kalumba,Angers,0,0,0,0.0,0.0,0.0,4
Jérémy Jacquet,Rennes,0,0,0,0.0,0.0,0.0,12
Tiago Santos,Lille,0,0,0,0.0,0.0,0.0,2
