player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Matheus Cunha,Manchester United,1,0,1,5.3,5.3,0.0,10
Mason Mount,Manchester United,1,0,1,5.3,5.3,0.0,8
Matthijs de Ligt,Manchester United,1,0,1,5.3,5.3,0.0,11
Luke Shaw,Manchester United,0,1,1,5.3,0.0,5.3,11
Pedro Porro,Tottenham,0,1,1,5.3,0.0,5.3,11
Cristian Romero,Tottenham,0,1,1,5.3,0.0,5.3,9
Diogo Dalot,Manchester United,0,1,1,5.3,0.0,5.3,9
Xavi Simons,Tottenham,0,1,1,5.3,0.0,5.3,8
Iyenoma Destiny Udogie,Tottenham,0,1,1,5.3,0.0,5.3,7
Wilson Odobert,Tottenham,0,1,1,5.3,0.0,5.3,10
Patrick Dorgu,Manchester United,0,1,1,5.3,0.0,5.3,10
Ayden Heaven,Manchester United,0,1,1,5.3,0.0,5.3,2
Gabriel Martinelli,Arsenal,1,0,1,5.0,5.0,0.0,8
Martin Odegaard,Arsenal,0,1,1,5.0,0.0,5.0,6
Cole Palmer,Chelsea,1,0,1,4.8,4.8,0.0,3
Josh Acheampong,Chelsea,1,0,1,4.8,4.8,0.0,5
Nico González,Manchester City,1,0,1,4.3,4.3,0.0,10
Omar Marmoush,Manchester City,0,1,1,4.3,0.0,4.3,6
Josko Gvardiol,Manchester City,0,1,1,4.3,0.0,4.3,7
Rico Lewis,Manchester City,0,1,1,4.3,0.0,4.3,5
Sávio,Manchester City,0,1,1,4.3,0.0,4.3,8
Oscar Bobb,Manchester City,0,1,1,4.3,0.0,4.3,8
Fabian Schär,Newcastle United,0,0,0,0.0,0.0,0.0,6
Joelinton,Newcastle United,0,0,0,0.0,0.0,0.0,9
Bernd Leno,Fulham,0,0,0,0.0,0.0,0.0,11
Nathan Aké,Manchester City,0,0,0,0.0,0.0,0.0,5
Seamus Coleman,Everton,0,0,0,0.0,0.0,0.0,2
John Stones,Manchester City,0,0,0,0.0,0.0,0.0,5
Nathaniel Clyne,Crystal Palace,0,0,0,0.0,0.0,0.0,1
Kieran Trippier,Newcastle United,0,0,0,0.0,0.0,0.0,9
Bertrand Traoré,Sunderland,0,0,0,0.0,0.0,0.0,6
Ola Aina,Nottingham Forest,0,0,0,0.0,0.0,0.0,3
Jordan Pickford,Everton,0,0,0,0.0,0.0,0.0,11
Jamaal Lascelles,Newcastle United,0,0,0,0.0,0.0,0.0,2
Karl Darlow,Leeds,0,0,0,0.0,0.0,0.0,5
Adam Smith,Bournemouth,0,0,0,0.0,0.0,0.0,4
Virgil van Dijk,Liverpool,0,0,0,0.0,0.0,0.0,11
James Ward-Prowse,West Ham,0,0,0,0.0,0.0,0.0,5
Adama Traoré,Fulham,0,0,0,0.0,0.0,0.0,9
Sam Byram,Leeds,0,0,0,0.0,0.0,0.0,1
Patrick Roberts,Sunderland,0,0,0,0.0,0.0,0.0,1
Axel Tuanzebe,Burnley,0,0,0,0.0,0.0,0.0,5
Sam Johnstone,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0,7
Joseph Gomez,Liverpool,0,0,0,0.0,0.0,0.0,4
Tyrone Mings,Aston Villa,0,0,0,0.0,0.0,0.0,7
Gianluigi Donnarumma,Manchester City,0,0,0,0.0,0.0,0.0,8
Alisson,Liverpool,0,0,0,0.0,0.0,0.0,6
Emil Krafth,Newcastle United,0,0,0,0.0,0.0,0.0,1
James Tarkowski,Everton,0,0,0,0.0,0.0,0.0,11
Dominic Solanke,Tottenham,0,0,0,0.0,0.0,0.0,2
Andrew Robertson,Liverpool,0,0,0,0.0,0.0,0.0,6
Arthur Masuaku,Sunderland,0,0,0,0.0,0.0,0.0,3
Lewis Cook,Bournemouth,0,0,0,0.0,0.0,0.0,4
Mateo Kovacic,Manchester City,0,0,0,0.0,0.0,0.0,1
Alphonse Areola,West Ham,0,0,0,0.0,0.0,0.0,7
Rodri,Manchester City,0,0,0,0.0,0.0,0.0,6
Oleksandr Zinchenko,Nottingham Forest,0,0,0,0.0,0.0,0.0,3
Issa Diop,Fulham,0,0,0,0.0,0.0,0.0,3
Odsonne Edouard,Crystal Palace,0,0,0,0.0,0.0,0.0,1
Emiliano Martinez,Aston Villa,0,0,0,0.0,0.0,0.0,9
Ashley Barnes,Burnley,0,0,0,0.0,0.0,0.0,1
Kai Havertz,Arsenal,0,0,0,0.0,0.0,0.0,1
Kevin Danso,Tottenham,0,0,0,0.0,0.0,0.0,7
Nick Pope,Newcastle United,0,0,0,0.0,0.0,0.0,11
Aaron Wan-Bissaka,West Ham,0,0,0,0.0,0.0,0.0,7
Tosin Adarabioyo,Chelsea,0,0,0,0.0,0.0,0.0,7
